id,from_time,to_time,duration,created_at,updated_at
1,NULL,2021-05-19 14:45:00.000000,NULL,2021-05-19 16:29:00.000000,NULL
2,2021-05-19 16:50:00.000000,2021-05-19 17:05:00.000000,900,2021-05-19 18:04:00.000000,NULL
3,2021-05-19 19:20:00.000000,2021-05-19 19:40:00.000000,1200,2021-05-19 19:44:00.000000,NULL
4,NULL,2021-05-20 08:40:00.000000,NULL,2021-05-20 08:50:00.000000,NULL
5,2021-05-20 21:12:00.000000,2021-05-20 21:24:00.000000,720,2021-05-20 21:27:00.000000,NULL
6,2021-05-20 21:53:00.000000,2021-05-20 22:20:00.000000,1620,2021-05-20 22:25:00.000000,NULL
7,2021-05-20 22:36:00.000000,2021-05-20 22:55:00.000000,1140,2021-05-20 23:05:00.000000,NULL
8,2021-05-21 00:35:00.000000,2021-05-20 00:47:00.000000,720,2021-05-20 00:47:00.000000,NULL
9,2021-05-21 00:55:00.000000,2021-05-21 01:02:00.000000,420,2021-05-21 00:55:00.000000,NULL
10,2021-05-21 01:18:00.000000,2021-05-21 01:26:00.000000,480,2021-05-21 01:26:00.000000,NULL
11,2021-05-21 01:28:00.000000,2021-05-21 01:38:00.000000,600,2021-05-21 01:40:00.000000,NULL
12,2021-05-21 04:57:00.000000,2021-05-21 05:18:00.000000,1260,2021-05-21 05:18:00.000000,NULL
13,2021-05-21 05:26:00.000000,2021-05-21 05:39:00.000000,780,2021-05-21 05:39:00.000000,NULL
14,2021-05-21 05:53:00.000000,2021-05-21 06:13:00.000000,1200,2021-05-21 06:13:00.000000,NULL
15,NULL,2021-05-21 07:00:00.000000,NULL,2021-05-21 07:14:00.000000,NULL
16,2021-05-21 10:30:00.000000,2021-05-21 10:45:00.000000,900,2021-05-21 10:41:00.000000,NULL
17,2021-05-21 11:00:00.000000,2021-05-21 11:15:00.000000,900,2021-05-21 11:21:00.000000,NULL
18,2021-05-21 16:05:00.000000,2021-05-21 16:17:00.000000,720,2021-05-21 16:17:00.000000,NULL
19,2021-05-21 16:34:00.000000,2021-05-21 16:45:00.000000,660,2021-05-21 16:48:00.000000,NULL
20,2021-05-21 17:15:00.000000,2021-05-21 17:22:00.000000,420,2021-05-21 17:47:00.000000,NULL
21,2021-05-21 17:43:00.000000,2021-05-21 18:00:00.000000,1020,2021-05-21 18:04:00.000000,NULL
