,sex,age,l,m,s,p5,p25,p50,p75,p95
0,1,0,0.3487,3.3464,0.14602,2.603994143461866,3.0272820146200923,3.3464,3.6866591753624345,4.2145271932760195
1,1,1,0.3127,3.3174,0.14693,2.5802414695712,2.9996946928261865,3.3174,3.6574989162477913,4.187747629623976
2,1,2,0.3029,3.337,0.14676,2.5970929148480666,3.0179256715913754,3.337,3.6788688335156006,4.212487551011784
3,1,3,0.2959,3.3627,0.14647,2.619029259676869,3.0418897481111675,3.3627,3.7066195487909224,4.243828938409079
4,1,4,0.2903,3.3915,0.14611,2.643615719656489,3.068796372901481,3.3915,3.7375810292652036,4.278441711881807
5,1,5,0.2855,3.4223,0.14571,2.66991578845717,3.097600493312227,3.4223,3.7706190369012607,4.31518589160919
6,1,6,0.2813,3.4545,0.14528,2.6974384853993087,3.127744045022024,3.4545,3.8050966515247078,4.3533823751682235
7,1,7,0.2776,3.4879,0.14483,2.7259942298887885,3.159028445105186,3.4879,3.8408171326466585,4.392848592558661
8,1,8,0.2742,3.5222,0.14436,2.7553701608889334,3.191187258753696,3.5222,3.877451083874849,4.433222346884543
9,1,9,0.2711,3.5576,0.14388,2.785678419204651,3.224381484493315,3.5576,3.9152418954291313,4.4748175833009185
10,1,10,0.2681,3.5941,0.14339,2.8169397080900214,3.258615929348197,3.5941,3.9541912065353064,4.517652125210776
11,1,11,0.2654,3.6319,0.1429,2.8492476480574016,3.294047742338739,3.6319,3.994539723090213,4.562019384391704
12,1,12,0.2628,3.671,0.14241,2.8826220407279166,3.3306812927040883,3.671,4.036289648427596,4.607938851722534
13,1,13,0.2604,3.7113,0.14192,2.916978395911293,3.368425443080859,3.7113,4.079327896068402,4.655269776844088
14,1,14,0.2581,3.7529,0.14142,2.9524581294196333,3.407397253861144,3.7529,4.123737733540888,4.704072782896275
15,1,15,0.2558,3.7956,0.14093,2.988812443467716,3.447371042676731,3.7956,4.169353905182093,4.754250703415756
16,1,16,0.2537,3.8389,0.14044,3.025683223345386,3.4879136343744386,3.8389,4.2155956983954255,4.805078797365891
17,1,17,0.2517,3.8828,0.13996,3.0630268340348823,3.5290027947299034,3.8828,4.262492363270473,4.856642553658688
18,1,18,0.2497,3.927,0.13948,3.100668631993679,3.5703917622113033,3.927,4.30968842254834,4.908503395349792
19,1,19,0.2478,3.9714,0.139,3.138521348201579,3.611988224910109,3.9714,4.357071999980901,4.960523557173696
20,1,20,0.246,4.0158,0.13853,3.1763717356081935,3.653585160482622,4.0158,4.40445255048039,5.012530765416687
21,1,21,0.2442,4.0603,0.13807,3.214305905351685,3.6952743655290097,4.0603,4.4519425241880555,5.0646642905464665
22,1,22,0.2425,4.1046,0.13761,3.252132103001161,3.7368060916075727,4.1046,4.499182379571892,5.116460482331592
23,1,23,0.2408,4.1489,0.13715,3.290017423788497,3.778363943413131,4.1489,4.546393336336958,5.168181065469172
24,1,24,0.2392,4.193,0.1367,3.327736233397197,3.8197377056162782,4.193,4.593384713456378,5.219646231807086
25,1,25,0.2376,4.2369,0.13626,3.3652952498765383,3.8609280250649185,4.2369,4.640159531701266,5.270871204671953
