,sex,age,l,m,s,p5,p25,p50,p75,p95
1857,2,0,0.3809,3.2322,0.14171,2.53214534634437,2.932331162653818,3.2322,3.550349818214121,4.04095918271094
1858,2,1,0.3259,3.1957,0.14578,2.489623533896464,2.8917709996587795,3.1957,3.5204566204391132,4.02564383102572
1859,2,2,0.3101,3.2104,0.14637,2.4997157491887436,2.9041120745634945,3.2104,3.5382757800292595,4.049482616055277
1860,2,3,0.2986,3.2315,0.14657,2.5161808274436495,2.9229633385285227,3.2315,3.5621893097476516,4.078585034465771
1861,2,4,0.2891,3.2558,0.14658,2.535828809546799,2.945064969086743,3.2558,3.5891599053263175,4.11035348785585
1862,2,5,0.281,3.2821,0.14646,2.5575160457541095,2.969224156589122,3.2821,3.6180058336596654,4.143683048756404
1863,2,6,0.2737,3.3099,0.14626,2.580686405300856,2.9948999144988817,3.3099,3.6482971451378283,4.178302990672778
1864,2,7,0.2671,3.3388,0.146,2.6049533315719975,3.021694295474389,3.3388,3.6796371410997613,4.213831648404779
1865,2,8,0.2609,3.3687,0.14569,2.630224521350992,3.0495037920828927,3.3687,3.7119405029054104,4.250227980406163
1866,2,9,0.2551,3.3995,0.14534,2.6563821016629166,3.078219811024894,3.3995,3.7451175799859535,4.287420229650335
1867,2,10,0.2497,3.4314,0.14498,2.6834475757494074,3.107961839841924,3.4314,3.7794597820639946,4.3258516817496915
1868,2,11,0.2446,3.4643,0.14459,2.7114485602199703,3.1386855111043315,3.4643,3.8148068733877047,4.3652673674021445
1869,2,12,0.2397,3.4983,0.1442,2.7403337871991624,3.170419849886269,3.4983,3.851343782541896,4.406001690688143
1870,2,13,0.2349,3.5333,0.1438,2.7700833634849653,3.2030986899314446,3.5333,3.8889356515925932,4.447868542084691
1871,2,14,0.2304,3.5693,0.14339,2.800683680378901,3.2367203329224488,3.5693,3.9275772875968786,4.4908402430005445
1872,2,15,0.226,3.6063,0.14299,2.832056246367615,3.27124421881452,3.6063,3.967322929074134,4.535076945706121
1873,2,16,0.2218,3.6438,0.14258,2.863899337440906,3.306260761752328,3.6438,4.007567891790467,4.579795273988945
1874,2,17,0.2177,3.6818,0.14218,2.896123256060936,3.341726550846818,3.6818,4.048366162246198,4.625148012457836
1875,2,18,0.2137,3.7201,0.14177,2.9286712406125024,3.3775061853449433,3.7201,4.089444214497504,4.670738752647004
1876,2,19,0.2099,3.7584,0.14138,2.961146679872799,3.413256059160604,3.7584,4.130551318996288,4.716397707939547
1877,2,20,0.2061,3.7968,0.14098,2.9937974395720515,3.4491399331011205,3.7968,4.171719866492724,4.762054338998822
1878,2,21,0.2024,3.8352,0.1406,3.0263809641740416,3.4849942096358912,3.8352,4.212920859021069,4.807795173660082
1879,2,22,0.1989,3.8735,0.14021,3.0589646095095713,3.5207975352950243,3.8735,4.2539597879396895,4.853258212962616
1880,2,23,0.1954,3.9116,0.13984,3.09132809649473,3.5563894997715653,3.9116,4.294815086578498,4.8985713811081055
1881,2,24,0.1919,3.9495,0.13947,3.1235754762433987,3.591817878140987,3.9495,4.335431133864274,4.943583883658139
1882,2,25,0.1886,3.9872,0.1391,3.1556888335111246,3.627079244026304,3.9872,4.375804307078916,4.988271334680659
1883,2,26,0.1853,4.0247,0.13875,3.1875756727266147,3.6621264119884396,4.0247,4.41599703207602,5.032817326019352
1884,2,27,0.1821,4.0618,0.1384,3.219175777300275,3.696824901504526,4.0618,4.455730700398539,5.076803934548316
1885,2,28,0.1789,4.0987,0.13805,3.250655831079634,3.731358136949215,4.0987,4.495226820534032,5.120494007878426
1886,2,29,0.1758,4.1353,0.13771,3.2818709973450018,3.7656074306275764,4.1353,4.534404055361467,5.163832081050682
1887,2,30,0.1727,4.1716,0.13738,3.3128281245239677,3.7995735423128982,4.1716,4.573265313248781,5.206833319993887
1888,2,31,0.1697,4.2075,0.13706,3.343436850951203,3.833162819815813,4.2075,4.611700055253705,5.249362950319103
1889,2,32,0.1668,4.2431,0.13674,3.3738321870350054,3.866491928683689,4.2431,4.6497880048820175,5.291464424038648
1890,2,33,0.1638,4.2783,0.13643,3.403893893154154,3.8994461747511466,4.2783,4.68745480407395,5.333123567320523
1891,2,34,0.161,4.3131,0.13613,3.4335929266494096,3.932019599466181,4.3131,4.7246956430053135,5.374304736113043
