id,from_time,to_time,duration,created_at,updated_at
2,2021-05-26 10:00:00.000000,2021-05-26 12:30:00.000000,9000,2021-05-26 10:59:15.130683,
4,2021-05-26 14:00:00.000000,2021-05-26 16:00:00.000000,7200,2021-05-26 14:44:38.398923,
6,2021-05-26 19:16:00.000000,2021-05-26 22:00:00.000000,9840,2021-05-26 20:10:55.192355,
7,2021-05-27 23:30:00.000000,2021-05-27 03:50:00.000000,15600,2021-05-27 02:02:35.023528,
8,2021-05-27 04:55:00.000000,2021-05-27 08:30:00.000000,12900,2021-05-27 06:32:19.689121,
9,2021-05-27 09:50:00.000000,2021-05-27 12:50:00.000000,10800,2021-05-27 10:51:26.822002,
10,2021-05-27 14:45:00.000000,2021-05-27 17:40:00.000000,10500,2021-05-27 13:13:50.621990,2021-05-27 15:54:43.904945
12,2021-05-28 21:59:00.000000,2021-05-28 02:30:00.000000,16260,2021-05-28 00:36:35.847501,
13,2021-05-28 03:05:00.000000,2021-05-28 06:25:00.000000,12000,2021-05-28 01:19:10.563296,2021-05-28 04:47:38.078840
14,2021-05-28 08:45:00.000000,2021-05-28 10:45:00.000000,7200,2021-05-28 06:45:24.025929,2021-05-28 08:50:12.553667
15,2021-05-28 12:15:00.000000,2021-05-28 12:20:00.000000,300,2021-05-28 10:17:26.164747,2021-05-28 10:54:27.303237
16,2021-05-28 12:45:00.000000,2021-05-28 13:35:00.000000,3000,2021-05-28 10:55:02.181962,2021-05-28 11:40:30.335600
17,2021-05-28 14:10:00.000000,2021-05-28 16:00:00.000000,6600,2021-05-28 12:25:29.133732,2021-05-28 14:18:38.487924
18,2021-05-28 17:35:00.000000,2021-05-28 18:40:00.000000,3900,2021-05-28 15:40:25.528945,2021-05-28 16:51:00.958835
19,2021-05-28 20:00:00.000000,2021-05-28 20:30:00.000000,1800,2021-05-28 19:16:09.595391,
20,2021-05-28 20:45:00.000000,2021-05-28 00:42:00.000000,14220,2021-05-28 19:17:03.489116,2021-05-28 23:14:46.572385
21,2021-05-28 01:12:00.000000,2021-05-29 04:30:00.000000,11880,2021-05-28 23:18:13.695475,2021-05-29 02:42:36.676116
22,2021-05-29 04:42:00.000000,2021-05-29 07:15:00.000000,9180,2021-05-29 05:44:45.342970,
23,2021-05-29 08:38:00.000000,,,2021-05-29 06:40:12.820533,
24,2021-05-29 08:58:00.000000,2021-05-29 10:15:00.000000,4620,2021-05-29 07:05:00.340126,2021-05-29 08:22:55.829380
25,2021-05-29 11:03:00.000000,2021-05-29 12:30:00.000000,5220,2021-05-29 09:06:39.988746,2021-05-29 10:49:41.248219
26,2021-05-29 14:00:00.000000,2021-05-29 16:26:00.000000,8760,2021-05-29 12:06:44.543368,2021-05-29 14:37:27.691112
27,2021-05-29 17:45:00.000000,2021-05-29 17:58:00.000000,780,2021-05-29 15:54:05.110610,2021-05-29 15:59:23.200143
28,2021-05-29 18:15:00.000000,2021-05-29 18:28:00.000000,780,2021-05-29 16:20:19.263433,2021-05-29 16:32:53.137361
29,2021-05-29 18:55:00.000000,2021-05-29 19:30:00.000000,2100,2021-05-29 17:01:42.538920,2021-05-29 17:35:43.045563
30,2021-05-29 20:20:00.000000,2021-05-29 22:40:00.000000,8400,2021-05-29 18:32:19.900490,2021-05-29 21:12:16.422031
31,2021-05-29 23:50:00.000000,2021-05-30 02:45:00.000000,10500,2021-05-29 22:08:39.733277,2021-05-30 01:03:17.465848
33,2021-05-30 03:58:00.000000,2021-05-30 07:35:00.000000,13020,2021-05-30 05:02:06.548642,2021-05-30 05:44:12.164690
34,2021-05-30 10:15:00.000000,2021-05-30 10:30:00.000000,900,2021-05-30 08:39:26.705549,
35,2021-05-30 11:10:00.000000,2021-05-30 12:10:00.000000,3600,2021-05-30 10:29:15.879650,
36,2021-05-30 14:30:00.000000,2021-05-30 14:40:00.000000,600,2021-05-30 12:47:13.365579,
37,2021-05-30 14:58:00.000000,2021-05-30 17:45:00.000000,10020,2021-05-30 13:00:22.938596,2021-05-30 15:53:49.512800
38,2021-05-30 19:00:00.000000,2021-05-30 20:50:00.000000,6600,2021-05-30 18:32:52.136635,2021-05-30 18:54:33.278965
